FID,Park,District,面積,Description,Longitude,Latitude
1,南湖左岸,南港,100827,基隆河左岸大坑溪出口至成功橋下游側滴水線,121.6011449566 ,25.0585683067 
2,南湖右岸,內湖,177172,基隆河右岸內溝溪出口至成功橋下游側滴水線,121.5965026441 ,25.0602977957 
3,成美左岸,南港,88732,基隆河左岸成功橋下游側滴水線至麥帥一橋下游側滴水線,121.5782064713 ,25.0520872743 
4,成美右岸,內湖,162296,基隆河右岸成功橋下游側滴水線至麥帥一橋下游側滴水線,121.5861439154 ,25.0556918934 
5,觀山,松山,263942,基隆河左岸麥帥一橋下游側滴水線至中山高速公路橋下游側滴水線,121.5693587698 ,25.0618088229 
6,彩虹,內湖,270878,基隆河右岸麥帥一橋下游側滴水線至中山高速公路橋下游側滴水線,121.5723444139 ,25.0601339493 
7,迎風,松山,537644,基隆河左岸中山高速公路橋下游側滴水線至大直橋上游側滴水線,121.5563967051 ,25.0736057582 
8,美堤,中山,423130,基隆河右岸中山高速公路橋下游側滴水線至大直橋下游側滴水線,121.5616761977 ,25.0747344773 
9,大佳,中山,432483,基隆河左岸大直橋上游側滴水線至中山橋下游側滴水線,121.5355336000 ,25.0750257600 
10,圓山,中山,86489,基隆河右岸大直橋下游側滴水線至中山橋上游側滴水線,121.5333126000 ,25.0777201200 
11,百齡左岸,士林,463400,基隆河左岸中山橋下游側滴水線至洲美大橋下游側滴水線,121.5131049000 ,25.0854026900 
12,百齡右岸,士林,289893,基隆河右岸中山橋上游側滴水線至雙溪河口雙溪橋上游側滴水線,121.5154351000 ,25.0849657700 
13,道南,文山,593491,景美溪左岸動物園租借站至一壽橋下游市界線，景美溪右岸捷運橋上游側木柵路5段口至寶橋下游側滴水線,121.5724718500 ,24.9909179802 
14,木柵,文山,97207,景美溪右岸寶橋下游側滴水線至景美橋下游側滴水線,121.5448000264 ,24.9850923332 
15,景美,文山,71021,景美溪右岸景美橋下游側滴水線至水源快速道路下游側滴水線,121.5364984794 ,24.9910818265 
16,溪洲,文山,181826,景美溪右岸水源快速道路下游側滴水線至新店溪右岸福和橋下游側滴水線,121.5340954000 ,25.0051908155 
17,古亭,中正,273320,新店溪右岸福和橋下游側滴水線至中正橋下游側滴水線,121.5248107750 ,25.0154221082 
18,中正,萬華,121021,新店溪右岸中正橋下游側滴水線至馬場町紀念公園上游停車場,121.5141425588 ,25.0228862184 
19,馬場町紀念公園,萬華,68112,新店溪右岸馬場町紀念公園平面停車場至第一果菜批發市場堤外專屬停車場,121.5033287014 ,25.0182985214 
20,華中,萬華,866249,新店溪右岸第一果菜批發市場堤外專屬停車場至萬板大橋下游側滴水線,121.4933158705 ,25.0142569787 
21,雙園,萬華,138278,新店溪右岸萬板大橋下游側滴水線至華江橋下游側滴水線,121.4871625308 ,25.0332267420 
22,龍山,萬華,119106,淡水河右岸桂林路底至忠孝橋下游側滴水線,121.5056225500 ,25.0504852214 
23,關渡水岸公園,北投,63143,淡水河右岸中港河出口至中央北路4段601巷,121.4627676338 ,25.1174437523 
24,延平河濱,大同,265993,忠孝橋下游側滴水線至延平北路7段1巷口(快樂休息站)-北站維管範圍為台北橋(含橋下空間)至延平北路7段1巷口(快樂休息站),121.5041297279 ,25.0862037199 
25,福安,士林,21702,淡水河右岸延平北路7段27巷堤外羽球場至延平北路7段177巷堤外涼亭,121.4903666367 ,25.0985832199 
26,富州,士林,25744,淡水河右岸延平北路9段37巷堤外籃球場至延平北路9段124巷堤外（富洲里渡船頭）,121.4770404691 ,25.1047001493 
27,雙溪,士林,231798,外雙溪左右岸復興橋上游側滴水線至雙溪橋上游側滴水線,121.5275779573 ,25.1005129655 
28,河雙21號,北投,261551,外雙溪右岸雙溪橋上游側滴水線至磺港溪出河口左岸灘地,121.5145066617 ,25.0992750155 
29,華江雁鴨自然公園,萬華,258263,動保處官網圖資套繪,121.4952200000 ,25.0387100000 
30,社子島環島(待命名),士林,490953,基隆河左岸洲美大橋下游側滴水線至淡水河右岸延平北路7段1巷口(不包含富州、福安),121.4660760000 ,25.1098320000 
